,Loss,COVID19 Classification Accuracy,Cancer Detection Accuracy,COVID19 Classification F1,Cancer Detection F1,Segmentation IoU,Segmentation Dice Coeff
0,32.11193022420329,0.7983870967741935,0.4086021505376344,0.7884216589861752,0.3767473118279569,0.1929126852108428,0.32097281541416856
1,27.99092481693914,0.8225806451612904,0.5147849462365591,0.8232718894009217,0.4966589861751152,0.18561120238080547,0.30781267139042584
2,26.81280707543896,0.717741935483871,0.6693548387096774,0.7159178187403996,0.6661098310291859,0.1595272982147193,0.2724591194667121
3,27.11633220411116,0.8145161290322581,0.7809139784946236,0.8214285714285714,0.7901625704045058,0.16419738208873014,0.2788782712230976
4,26.58215367073013,0.8669354838709677,0.8817204301075269,0.8746927803379415,0.8836021505376344,0.1690841478557783,0.28654508024930975
5,28.98960333101211,0.8830645161290323,0.9126344086021506,0.881336405529954,0.9152585765488992,0.15065215226792636,0.25785883264431697
6,29.936072495675855,0.9032258064516129,0.9126344086021506,0.9072388632872505,0.917741935483871,0.15769051816332028,0.2695689745265641
7,27.27393954030929,0.8951612903225806,0.9422043010752688,0.8878072196620584,0.9427419354838709,0.14919193169989084,0.2561236525051752
8,26.402097798643574,0.907258064516129,0.9556451612903226,0.9088709677419355,0.9529377880184332,0.13873584895642307,0.24046962011562587
9,28.452075475646602,0.9032258064516129,0.9193548387096774,0.9109447004608294,0.9225614439324119,0.1697917537282432,0.28731442363007664
10,27.203071914372906,0.8951612903225806,0.9059139784946236,0.8974078341013826,0.9135752688172042,0.18780130163270065,0.31204082854074155
11,30.48743620034187,0.8951612903225806,0.9381720430107526,0.888306451612903,0.9448028673835126,0.19777330073975813,0.32757389316826957
12,26.350058543826304,0.9153225806451613,0.9220430107526881,0.9193164362519199,0.9153033794162825,0.1813034099128675,0.30330239721927893
13,22.609759704720588,0.8709677419354839,0.9341397849462365,0.8783794162826422,0.9397849462365592,0.17757029440357455,0.2979071385289174
14,24.357202081190003,0.8588709677419355,0.7674731182795699,0.8549923195084485,0.7696236559139786,0.1299854757722778,0.22595609124537522
15,21.371495039232315,0.9112903225806451,0.8091397849462365,0.9122695852534562,0.7941564260112648,0.1431531506911737,0.24457951413496493
